,lat,lon,alt,timestamp,topic_id_x,temp,tds,turb,t_v,ph,ph_v,topic_id_y
1,51.9884772,5.6666765,1.0,1621002200071523083,1,20.5,186.0,-460.4,2.71,4.69,3.09,3.0
2,51.9884802,5.6666722,1.0,1621002201079643256,1,20.437,184.0,-495.88,2.65,4.73,3.08,3.0
3,51.9884805,5.666666,1.0,1621002202064604723,1,20.375,182.0,-529.82,2.6,4.74,3.08,3.0
4,51.9884793,5.6666595,1.0,1621002203066148779,1,20.375,182.0,-529.82,2.6,4.74,3.08,3.0
5,51.9884788,5.6666537,1.0,1621002204068334478,1,20.312,181.0,-562.22,2.55,4.64,3.1,3.0
6,51.9884763,5.666649,1.0,1621002205065643372,1,20.187,184.0,-568.39,2.54,4.65,3.09,3.0
7,51.9884725,5.6666462,1.0,1621002206071442608,1,20.187,184.0,-568.39,2.54,4.65,3.09,3.0
8,51.9884682,5.6666443,1.0,1621002207072633211,1,20.187,185.0,-563.76,2.55,4.49,3.13,3.0
9,51.9884635,5.6666477,1.0,1621002208070914849,1,20.187,182.0,-545.25,2.58,4.67,3.09,3.0
10,51.9884608,5.6666525,1.0,1621002209064864893,1,20.125,184.0,-468.11,2.7,4.56,3.11,3.0
11,51.9884595,5.6666603,1.0,1621002210073483423,1,20.125,184.0,-468.11,2.7,4.56,3.11,3.0
12,51.9884593,5.6666658,1.0,1621002211067738803,1,20.0,182.0,-423.37,2.77,4.62,3.1,3.0
13,51.9884632,5.666672,1.0,1621002212070661252,1,20.0,182.0,-395.6,2.81,4.58,3.11,3.0
14,51.9884662,5.6666742,1.0,1621002213065706718,1,19.937,185.0,-380.17,2.84,4.68,3.09,3.0
15,51.9884698,5.6666735,1.0,1621002214064849589,1,19.875,183.0,-390.97,2.82,4.55,3.11,3.0
16,51.9884733,5.6666723,1.0,1621002215066861122,1,19.875,183.0,-355.49,2.88,4.65,3.09,3.0
17,51.9884768,5.6666732,1.0,1621002216097548844,1,19.812,184.0,-284.53,2.99,4.62,3.1,3.0
18,51.9884807,5.6666767,1.0,1621002217064530921,1,19.875,185.0,-266.01,3.02,4.72,3.08,3.0
19,51.9884828,5.6666822,1.0,1621002218070366408,1,19.812,188.0,-309.21,2.95,4.49,3.13,3.0
20,51.9884833,5.6666868,1.0,1621002219065902385,1,19.812,189.0,-360.12,2.87,4.42,3.14,3.0
21,51.9884808,5.666691,1.0,1621002220084336476,1,20.062,189.0,-412.57,2.79,4.67,3.09,3.0
22,51.9884788,5.6666975,1.0,1621002221065628106,1,20.062,189.0,-412.57,2.79,4.67,3.09,3.0
23,51.9884747,5.666702,1.0,1621002222071115954,1,20.375,187.0,-497.42,2.65,4.63,3.1,3.0
24,51.9884698,5.666705,1.0,1621002223066502943,1,20.437,186.0,-523.65,2.61,4.6,3.1,3.0
25,51.9884647,5.6667065,1.0,1621002224074407288,1,20.437,186.0,-523.65,2.61,4.6,3.1,3.0
26,51.9884607,5.6667062,1.0,1621002225186131610,1,20.437,186.0,-537.53,2.59,4.55,3.11,3.0
27,51.9884555,5.6667033,1.0,1621002226071287290,1,20.562,186.0,-542.16,2.58,4.78,3.07,3.0
28,51.988452,5.6666983,1.0,1621002227065477585,1,20.625,186.0,-537.53,2.59,4.69,3.09,3.0
29,51.9884495,5.6666918,1.0,1621002228067716475,1,20.625,186.0,-537.53,2.59,4.69,3.09,3.0
30,51.9884473,5.6666852,1.0,1621002229072798493,1,20.625,186.0,-523.65,2.61,4.69,3.09,3.0
31,51.9884475,5.6666802,1.0,1621002230064657794,1,20.687,185.0,-485.08,2.67,4.8,3.07,3.0
32,51.98845,5.6666743,1.0,1621002231067410357,1,20.687,185.0,-485.08,2.67,4.8,3.07,3.0
33,51.988453,5.6666692,1.0,1621002232070378516,1,20.687,185.0,-454.22,2.72,4.67,3.09,3.0
34,51.9884565,5.6666662,1.0,1621002233072502693,1,20.687,182.0,-424.91,2.77,4.55,3.11,3.0
35,51.9884613,5.6666637,1.0,1621002234176226092,1,20.5,180.0,-406.4,2.8,4.64,3.1,3.0
36,51.9884652,5.6666627,1.0,1621002235067711374,1,20.375,181.0,-403.31,2.8,4.65,3.09,3.0
37,51.9884695,5.6666638,1.0,1621002237082851760,1,19.875,183.0,-364.75,2.86,4.78,3.07,3.0
38,51.9884722,5.666668,1.0,1621002237082955675,1,19.875,183.0,-364.75,2.86,4.78,3.07,3.0
39,51.9884743,5.666674,1.0,1621002238066833971,1,19.812,185.0,-377.09,2.84,4.63,3.1,3.0
40,51.9884753,5.6666793,1.0,1621002239076295676,1,19.75,185.0,-392.52,2.82,4.71,3.08,3.0
41,51.988475,5.6666848,1.0,1621002240067132315,1,19.812,189.0,-407.94,2.79,4.67,3.09,3.0
42,51.9884735,5.6666912,1.0,1621002241063524481,1,19.937,187.0,-429.54,2.76,4.82,3.06,3.0
43,51.9884713,5.6666975,1.0,1621002242065109055,1,19.937,187.0,-429.54,2.76,4.82,3.06,3.0
44,51.9884685,5.6667015,1.0,1621002243065168836,1,20.25,187.0,-503.59,2.64,4.8,3.07,3.0
45,51.9884642,5.6667038,1.0,1621002244065969796,1,20.312,184.0,-519.02,2.62,4.73,3.08,3.0
46,51.9884598,5.6667048,1.0,1621002245070416062,1,20.375,185.0,-534.45,2.59,4.74,3.08,3.0
47,51.988456,5.6667045,1.0,1621002246093936010,1,20.375,185.0,-534.45,2.59,4.74,3.08,3.0
48,51.9884535,5.6667002,1.0,1621002247065048933,1,20.312,185.0,-552.96,2.56,4.87,3.05,3.0
49,51.98845,5.6666963,1.0,1621002248070444854,1,20.375,187.0,-556.04,2.56,4.86,3.05,3.0
50,51.9884465,5.6666915,1.0,1621002249062070063,1,20.375,187.0,-556.04,2.56,4.86,3.05,3.0
51,51.9884445,5.666685,1.0,1621002250064221430,1,20.437,186.0,-549.87,2.57,4.89,3.05,3.0
52,51.9884427,5.666677,1.0,1621002251072635788,1,20.562,186.0,-512.85,2.63,4.82,3.06,3.0
53,51.9884415,5.6666658,1.0,1621002252070629345,1,20.562,186.0,-489.71,2.66,4.73,3.08,3.0
54,51.9884398,5.6666552,1.0,1621002253074386066,1,20.562,186.0,-489.71,2.66,4.73,3.08,3.0
55,51.9884378,5.6666438,1.0,1621002254069906063,1,20.625,186.0,-468.11,2.7,4.78,3.07,3.0
56,51.9884353,5.6666332,1.0,1621002255171130768,1,20.625,186.0,-412.57,2.79,4.51,3.12,3.0
57,51.9884327,5.6666225,1.0,1621002256067684823,1,20.625,186.0,-412.57,2.79,4.51,3.12,3.0
58,51.9884293,5.6666127,1.0,1621002257069330024,1,20.687,185.0,-398.69,2.81,4.64,3.1,3.0
59,51.9884268,5.6666033,1.0,1621002258069293516,1,20.687,185.0,-381.72,2.83,4.81,3.06,3.0
60,51.9884232,5.666595,1.0,1621002259068390019,1,20.625,186.0,-372.46,2.85,4.68,3.09,3.0
61,51.9884195,5.666587,1.0,1621002260066109159,1,20.625,187.0,-378.63,2.84,4.63,3.1,3.0
62,51.9884152,5.6665795,1.0,1621002261080527320,1,20.625,186.0,-374.0,2.85,4.78,3.07,3.0
63,51.988411,5.6665727,1.0,1621002262069455438,1,20.625,186.0,-370.92,2.85,4.78,3.07,3.0
64,51.9884058,5.666566,1.0,1621002263070834460,1,20.625,186.0,-369.37,2.85,4.83,3.06,3.0
65,51.9883988,5.6665608,1.0,1621002264069291194,1,20.625,186.0,-369.37,2.85,4.76,3.07,3.0
66,51.9883912,5.6665563,1.0,1621002265069883581,1,20.625,186.0,-364.75,2.86,4.73,3.08,3.0
67,51.9883837,5.666554,1.0,1621002266071622683,1,20.625,186.0,-360.12,2.87,4.62,3.1,3.0
